question,answer
What should I do if my site is hacked?,"Immediately contact support, change all admin passwords, and follow our security incident guide."
How can I remove a user's access?,"From Team > Members, revoke their access or change their role to limit permissions."
How do I add custom CSS to my theme?,Use Themes > Edit code to add custom CSS; create backups before editing.
Can I offer installment payments?,Yes — enable buy-now-pay-later options through supported payment providers.
How are taxes displayed to customers?,Taxes are shown at checkout based on customer location and tax configuration.
How do I handle failed payments?,Failed payments trigger email alerts; update payment methods or retry charges from Billing.
Does the product support multilingual SEO?,Yes — apply translated metadata and hreflang tags in the theme settings.
How do I schedule backups?,Backups are handled automatically; download manual exports from Account > Exports.
What file types are supported for uploads?,"We support common image formats (JPEG, PNG, GIF) and documents (PDF)."
How do I request a feature?,Submit feature requests through Feedback > Request a Feature; our product team reviews them.
